time/s	I/mA	Ewe/V
1.171408700429267E+004	-6.1265274E-004	2.6075149E+000
1.172761980412883E+004	-2.9761891E-003	2.6005845E+000
1.174261980394722E+004	-2.9442976E-003	2.6007564E+000
1.175761980376561E+004	-2.9527002E-003	2.6006038E+000
1.177261980358401E+004	-2.9176259E-003	2.6005845E+000
1.178761980340240E+004	-2.9326486E-003	2.6007183E+000
1.180261980322079E+004	-2.8882171E-003	2.6007564E+000
1.181761980303918E+004	-2.9201722E-003	2.6004319E+000
1.183261980285757E+004	-2.9048312E-003	2.6007183E+000
1.184761980267597E+004	-2.9120881E-003	2.6008136E+000
1.186261980249436E+004	-2.8848434E-003	2.6007373E+000
1.187761980231275E+004	-2.8797507E-003	2.6006992E+000
1.189261980213114E+004	-2.8824243E-003	2.6007564E+000
1.190761980194954E+004	-2.8505966E-003	2.6005273E+000
1.192261980176793E+004	-2.8470319E-003	2.6005845E+000
1.193761980158632E+004	-2.8345555E-003	2.6005464E+000
1.195261980140471E+004	-2.8329638E-003	2.6006801E+000
1.196761980122310E+004	-2.8407299E-003	2.6006038E+000
1.198261980104150E+004	-2.8090931E-003	2.6006610E+000
1.199761980085989E+004	-2.7961072E-003	2.6006801E+000
1.201261980067828E+004	-2.7926697E-003	2.6007373E+000
1.202761980049667E+004	-2.7996083E-003	2.6007373E+000
1.204261980031506E+004	-2.7935610E-003	2.6006229E+000
1.205761980013346E+004	-2.7868135E-003	2.6005273E+000
1.207261979995185E+004	-2.7844580E-003	2.6006801E+000
1.208761979977024E+004	-2.7642157E-003	2.6007564E+000
1.210261979958863E+004	-2.7521846E-003	2.6005845E+000
1.211761979940702E+004	-2.7619242E-003	2.6006992E+000
1.213261979922542E+004	-2.7445459E-003	2.6006610E+000
1.214761979904381E+004	-2.7367163E-003	2.6006229E+000
1.216261979886220E+004	-2.7166649E-003	2.6006420E+000
1.217761979868059E+004	-2.7141187E-003	2.6008136E+000
1.219261979849898E+004	-2.7099811E-003	2.6006420E+000
1.220761979831738E+004	-2.7273588E-003	2.6006992E+000
1.222261979813577E+004	-2.7210573E-003	2.6006420E+000
1.223761979795416E+004	-2.7021514E-003	2.6005464E+000
1.225261979777255E+004	-2.6925395E-003	2.6005654E+000
1.226761979759095E+004	-2.6915844E-003	2.6005464E+000
1.228261979740934E+004	-2.6946401E-003	2.6005654E+000
1.229761979722773E+004	-2.7104903E-003	2.6007564E+000
1.231261979704612E+004	-2.6941306E-003	2.6006801E+000
1.232761979686451E+004	-2.6675863E-003	2.6008136E+000
1.234261979668291E+004	-2.6547280E-003	2.6006610E+000
1.235761979650130E+004	-2.6543462E-003	2.6007373E+000
1.237261979631969E+004	-2.6484898E-003	2.6005654E+000
1.238761979613808E+004	-2.6583562E-003	2.6007183E+000
1.240261979595647E+004	-2.6591201E-003	2.6006610E+000
1.241761979577487E+004	-2.6474711E-003	2.6005845E+000
1.243261979559326E+004	-2.6456250E-003	2.6006992E+000
1.244761979541165E+004	-2.6200993E-003	2.6007564E+000
1.246261979523004E+004	-2.5969923E-003	2.6005845E+000
1.247761979504843E+004	-2.6121424E-003	2.6008711E+000
1.249261979486683E+004	-2.6093412E-003	2.6005654E+000
1.250761979468522E+004	-2.6019574E-003	2.6006038E+000
1.252261979450361E+004	-2.5908814E-003	2.6005273E+000
1.253761979432200E+004	-2.5837517E-003	2.6007755E+000
1.255261979414040E+004	-2.5835608E-003	2.6007183E+000
1.256761979395879E+004	-2.5980743E-003	2.6006420E+000
1.258261979377718E+004	-2.6045034E-003	2.6004510E+000
1.259761979359557E+004	-2.5736943E-003	2.6006610E+000
1.261261979341396E+004	-2.5826695E-003	2.6007373E+000
1.262761979323236E+004	-2.5587990E-003	2.6006610E+000
1.264261979305075E+004	-2.5686654E-003	2.6007755E+000
1.265761979286914E+004	-2.5451127E-003	2.6006610E+000
1.267261979268753E+004	-2.5453037E-003	2.6006801E+000
1.268761979250592E+004	-2.5534516E-003	2.6006229E+000
1.270261979232432E+004	-2.5519875E-003	2.6006229E+000
1.271761979214271E+004	-2.5466406E-003	2.6005845E+000
1.273261979196110E+004	-2.5179954E-003	2.6006420E+000
1.274761979177949E+004	-2.5211782E-003	2.6006801E+000
1.276261979159788E+004	-2.5087018E-003	2.6006992E+000
1.277761979141628E+004	-2.5013813E-003	2.6008136E+000
1.279261979123467E+004	-2.4948248E-003	2.6005845E+000
1.280761979105306E+004	-2.5000444E-003	2.6006229E+000
1.282261979087145E+004	-2.4923421E-003	2.6006992E+000
1.283761979068985E+004	-2.4970528E-003	2.6005273E+000
1.285261979050824E+004	-2.5104205E-003	2.6006038E+000
1.286761979032663E+004	-2.4838124E-003	2.6007183E+000
1.288261979014502E+004	-2.4891596E-003	2.6006038E+000
1.289761978996341E+004	-2.5005538E-003	2.6006420E+000
1.291261978978181E+004	-2.4628059E-003	2.6005273E+000
1.292761978960020E+004	-2.4652886E-003	2.6007946E+000
1.294261978941859E+004	-2.4666253E-003	2.6006420E+000
1.295761978923698E+004	-2.4568860E-003	2.6006992E+000
1.297261978905537E+004	-2.4549128E-003	2.6005845E+000
1.298761978887377E+004	-2.4526212E-003	2.6006038E+000
1.300261978869216E+004	-2.4505842E-003	2.6006801E+000
1.301761978851055E+004	-2.4735001E-003	2.6005845E+000
1.303261978832894E+004	-2.4313601E-003	2.6005464E+000
1.304761978814733E+004	-2.4330786E-003	2.6006610E+000
1.306261978796573E+004	-2.4190110E-003	2.6006610E+000
1.307761978778412E+004	-2.4366435E-003	2.6006610E+000
1.309261978760251E+004	-2.4300870E-003	2.6006992E+000
1.310761978742090E+004	-2.4289412E-003	2.6006420E+000
1.312261978723930E+004	-2.4369617E-003	2.6006992E+000
1.313761978705769E+004	-2.4283044E-003	2.6005464E+000
1.315261978687608E+004	-2.3983228E-003	2.6006038E+000
1.316761978669447E+004	-2.4003596E-003	2.6007373E+000
1.318261978651286E+004	-2.4049431E-003	2.6006229E+000
1.319761978633126E+004	-2.4042428E-003	2.6005845E+000
1.321261978614965E+004	-2.3950126E-003	2.6006610E+000
1.322761978596804E+004	-2.3997868E-003	2.6006229E+000
1.324261978578643E+004	-2.3960948E-003	2.6005464E+000
1.325761978560482E+004	-2.3927847E-003	2.6007373E+000
1.327261978542322E+004	-2.3878831E-003	2.6006610E+000
1.328761978524161E+004	-2.3672588E-003	2.6006229E+000
1.330261978506000E+004	-2.3975589E-003	2.6006610E+000
1.331761978487839E+004	-2.3797988E-003	2.6006801E+000
1.333261978469678E+004	-2.3802447E-003	2.6006992E+000
1.334761978451518E+004	-2.3821543E-003	2.6006038E+000
1.336261978433357E+004	-2.3747701E-003	2.6005845E+000
1.337761978415196E+004	-2.3666222E-003	2.6006038E+000
1.339261978397035E+004	-2.3638851E-003	2.6005845E+000
1.340761978378874E+004	-2.3722877E-003	2.6005273E+000
1.342261978360714E+004	-2.3560554E-003	2.6006420E+000
1.343761978342553E+004	-2.3598112E-003	2.6007373E+000
1.345261978324392E+004	-2.3485441E-003	2.6007564E+000
1.346761978306231E+004	-2.3456796E-003	2.6006420E+000
1.348261978288071E+004	-2.3430695E-003	2.6006801E+000
1.349761978269910E+004	-2.3480984E-003	2.6006610E+000
1.351261978251749E+004	-2.3293835E-003	2.6005654E+000
1.352761978233588E+004	-2.3412874E-003	2.6005845E+000
1.354261978215427E+004	-2.3218724E-003	2.6006038E+000
1.355761978197267E+004	-2.3456796E-003	2.6007183E+000
1.357261978179106E+004	-2.3081861E-003	2.6005654E+000
1.358761978160945E+004	-2.3008024E-003	2.6005654E+000
1.360261978142784E+004	-2.2877527E-003	2.6006420E+000
1.361761978124623E+004	-2.3158886E-003	2.6007183E+000
1.363261978106463E+004	-2.3190079E-003	2.6007373E+000
1.364761978088302E+004	-2.3158249E-003	2.6006610E+000
1.366261978070141E+004	-2.3065312E-003	2.6007373E+000
1.367761978051980E+004	-2.2909355E-003	2.6006420E+000
1.369261978033819E+004	-2.3007386E-003	2.6008327E+000
1.370761978015659E+004	-2.3053854E-003	2.6005464E+000
1.372261977997498E+004	-2.3079317E-003	2.6006420E+000
1.373761977979337E+004	-2.3083771E-003	2.6006992E+000
1.375261977961176E+004	-2.3033484E-003	2.6006038E+000
1.376761977943016E+004	-2.2855885E-003	2.6005654E+000
1.378261977924855E+004	-2.2764222E-003	2.6006420E+000
1.379761977906694E+004	-2.2845701E-003	2.6006420E+000
1.381261977888533E+004	-2.2867979E-003	2.6006420E+000
1.382761977870372E+004	-2.3000382E-003	2.6007183E+000
1.384261977852212E+004	-2.2988289E-003	2.6006038E+000
1.385761977834051E+004	-2.2904263E-003	2.6006801E+000
1.387261977815890E+004	-2.2741940E-003	2.6007946E+000
1.388761977797729E+004	-2.2704385E-003	2.6005654E+000
1.390261977779568E+004	-2.2702476E-003	2.6006420E+000
1.391761977761408E+004	-2.2708841E-003	2.6007946E+000
1.393261977743247E+004	-2.2624179E-003	2.6007373E+000
1.394761977725086E+004	-2.2615902E-003	2.6007183E+000
1.396261977706925E+004	-2.2583439E-003	2.6006038E+000
1.397761977688764E+004	-2.2563706E-003	2.6006992E+000
1.399261977670604E+004	-2.2534425E-003	2.6006229E+000
1.400761977652443E+004	-2.2270889E-003	2.6006420E+000
1.402261977634282E+004	-2.2299534E-003	2.6006610E+000
1.403761977616121E+004	-2.2341546E-003	2.6006229E+000
1.405261977597961E+004	-2.2314175E-003	2.6006992E+000
1.406761977579800E+004	-2.2216782E-003	2.6007755E+000
1.408261977561639E+004	-2.2498777E-003	2.6006610E+000
1.409761977543478E+004	-2.2383560E-003	2.6005845E+000
1.411261977525317E+004	-2.2249883E-003	2.6006038E+000
1.412761977507157E+004	-2.2093926E-003	2.6007373E+000
1.414261977488996E+004	-2.2191955E-003	2.6008136E+000
1.415761977470835E+004	-2.1960884E-003	2.6007564E+000
1.417261977452674E+004	-2.2068464E-003	2.6006229E+000
1.418761977434513E+004	-2.2318631E-003	2.6006420E+000
1.420261977416353E+004	-2.2188774E-003	2.6005845E+000
1.421761977398192E+004	-2.2179226E-003	2.6006610E+000
1.423261977380031E+004	-2.2305264E-003	2.6008136E+000
1.424761977361870E+004	-2.2069099E-003	2.6005845E+000
1.426261977343709E+004	-2.2049369E-003	2.6006992E+000
1.427761977325549E+004	-2.1875587E-003	2.6006992E+000
1.429261977307388E+004	-2.1855852E-003	2.6006992E+000
1.430761977289227E+004	-2.1971071E-003	2.6006610E+000
1.432261977271066E+004	-2.1950700E-003	2.6006038E+000
1.433761977252905E+004	-2.1923967E-003	2.6005273E+000
1.435261977234745E+004	-2.1905503E-003	2.6006038E+000
1.436761977216584E+004	-2.1977436E-003	2.6007183E+000
1.438261977198423E+004	-2.1967252E-003	2.6007373E+000
1.439761977180262E+004	-2.1804292E-003	2.6006038E+000
1.441261977162102E+004	-2.1704989E-003	2.6006610E+000
1.442761977143941E+004	-2.1655976E-003	2.6007373E+000
1.444261977125780E+004	-2.1632421E-003	2.6006610E+000
1.445761977107619E+004	-2.1867948E-003	2.6006801E+000
1.447261977089458E+004	-2.1734270E-003	2.6005654E+000
1.448761977071298E+004	-2.1806839E-003	2.6006801E+000
1.450261977053137E+004	-2.1689711E-003	2.6006801E+000
1.451761977034976E+004	-2.1701807E-003	2.6007755E+000
1.453261977016815E+004	-2.1476466E-003	2.6006610E+000
1.454761976998654E+004	-2.1633697E-003	2.6008136E+000
1.456261976980494E+004	-2.1491745E-003	2.6005464E+000
1.457761976962333E+004	-2.1343424E-003	2.6007373E+000
1.459261976944172E+004	-2.1434454E-003	2.6007755E+000
1.460761976926011E+004	-2.1656612E-003	2.6005845E+000
1.462261976907850E+004	-2.1594868E-003	2.6006038E+000
1.463761976889690E+004	-2.1711991E-003	2.6006610E+000
1.465261976871529E+004	-2.1502564E-003	2.6007373E+000
1.466761976853368E+004	-2.1508294E-003	2.6007183E+000
1.468261976835207E+004	-2.1461190E-003	2.6006610E+000
1.469761976817047E+004	-2.1384801E-003	2.6007373E+000
1.471261976798886E+004	-2.1445912E-003	2.6007183E+000
1.472761976780725E+004	-2.1345969E-003	2.6007183E+000
1.474261976762564E+004	-2.1416629E-003	2.6006420E+000
1.475761976744403E+004	-2.1380982E-003	2.6006420E+000
1.477261976726243E+004	-2.1281680E-003	2.6006420E+000
1.478761976708082E+004	-2.1167735E-003	2.6006610E+000
1.480261976689921E+004	-2.1387984E-003	2.6006992E+000
1.481761976671760E+004	-2.1345336E-003	2.6007183E+000
1.483261976653599E+004	-2.1277859E-003	2.6005273E+000
1.484761976635439E+004	-2.1102806E-003	2.6005845E+000
1.486261976617278E+004	-2.1403900E-003	2.6006420E+000
1.487761976599117E+004	-2.1159460E-003	2.6005464E+000
1.489261976580956E+004	-2.1074796E-003	2.6006992E+000
1.490761976562795E+004	-2.1141635E-003	2.6005654E+000
1.492261976544635E+004	-2.1230117E-003	2.6006038E+000
1.493761976526474E+004	-2.1235847E-003	2.6005845E+000
1.495261976508313E+004	-2.1070978E-003	2.6006038E+000
1.496761976490152E+004	-2.1083073E-003	2.6006610E+000
1.498261976471992E+004	-2.0866008E-003	2.6006610E+000
1.499761976453831E+004	-2.0980588E-003	2.6006038E+000
1.501261976435670E+004	-2.1228846E-003	2.6005654E+000
1.502761976417509E+004	-2.0979315E-003	2.6005845E+000
1.504261976399348E+004	-2.1065888E-003	2.6006229E+000
1.505761976381188E+004	-2.1000959E-003	2.6006229E+000
1.507261976363027E+004	-2.0989501E-003	2.6006229E+000
1.508761976344866E+004	-2.0773069E-003	2.6005464E+000
1.510261976326705E+004	-2.0777525E-003	2.6006420E+000
1.511761976308544E+004	-2.0924571E-003	2.6005654E+000
1.513261976290384E+004	-2.0932846E-003	2.6007755E+000
1.514761976272223E+004	-2.0812536E-003	2.6007946E+000
1.516261976254062E+004	-2.0735513E-003	2.6006610E+000
1.517761976235901E+004	-2.0613931E-003	2.6007373E+000
1.519261976217740E+004	-2.0776254E-003	2.6006038E+000
1.520761976199580E+004	-2.0758428E-003	2.6005464E+000
1.522261976181419E+004	-2.0742514E-003	2.6006229E+000
1.523761976163258E+004	-2.0738060E-003	2.6006801E+000
1.525261976145097E+004	-2.0770524E-003	2.6006420E+000
1.526761976126937E+004	-2.0689042E-003	2.6007755E+000
1.528261976108776E+004	-2.0677587E-003	2.6004891E+000
1.529761976090615E+004	-2.0628569E-003	2.6006801E+000
1.531261976072454E+004	-2.0766703E-003	2.6005273E+000
1.532761976054293E+004	-2.0609475E-003	2.6007946E+000
1.534261976036133E+004	-2.0636208E-003	2.6006229E+000
1.535761976017972E+004	-2.0536906E-003	2.6006038E+000
1.537261975999811E+004	-2.0592287E-003	2.6006038E+000
1.538761975981650E+004	-2.0606928E-003	2.6006420E+000
1.540261975963489E+004	-2.0344667E-003	2.6008136E+000
1.541761975945329E+004	-2.0654669E-003	2.6007183E+000
1.543261975927168E+004	-2.0570008E-003	2.6006610E+000
1.544761975909007E+004	-2.0352942E-003	2.6006801E+000
1.546261975890846E+004	-2.0498713E-003	2.6006610E+000
1.547761975872685E+004	-2.0562368E-003	2.6006229E+000
1.549261975854525E+004	-2.0256185E-003	2.6006038E+000
1.550761975836364E+004	-2.0415324E-003	2.6005845E+000
1.552261975818203E+004	-2.0500622E-003	2.6007755E+000
1.553761975800042E+004	-2.0409597E-003	2.6007183E+000
1.555261975781881E+004	-2.0260003E-003	2.6006992E+000
1.556761975763721E+004	-2.0178526E-003	2.6006992E+000
1.558261975745560E+004	-2.0139059E-003	2.6006801E+000
1.559761975727399E+004	-2.0072220E-003	2.6006992E+000
1.561261975709238E+004	-2.0539453E-003	2.6006229E+000
1.562761975691078E+004	-2.0264462E-003	2.6007373E+000
1.564261975672917E+004	-2.0396865E-003	2.6008520E+000
1.565761975654756E+004	-2.0193164E-003	2.6005654E+000
1.567261975636595E+004	-2.0102775E-003	2.6006229E+000
1.568761975618434E+004	-2.0284194E-003	2.6007755E+000
1.570261975600274E+004	-2.0321114E-003	2.6006229E+000
1.571761975582113E+004	-2.0177253E-003	2.6006038E+000
1.573261975563952E+004	-2.0121871E-003	2.6007373E+000
1.574761975545791E+004	-2.0209716E-003	2.6005654E+000
1.576261975527630E+004	-2.0259367E-003	2.6005273E+000
1.577761975509470E+004	-2.0057578E-003	2.6007183E+000
1.579261975491309E+004	-2.0202715E-003	2.6007183E+000
1.580761975473148E+004	-2.0150517E-003	2.6007373E+000
1.582261975454987E+004	-1.9984376E-003	2.6006610E+000
1.583761975436826E+004	-2.0121236E-003	2.6006610E+000
1.585261975418666E+004	-2.0046120E-003	2.6006801E+000
1.586761975400505E+004	-1.9830328E-003	2.6005654E+000
1.588261975382344E+004	-2.0179797E-003	2.6006610E+000
1.589761975364183E+004	-2.0002837E-003	2.6006992E+000
1.591261975346023E+004	-1.9665461E-003	2.6007183E+000
1.592761975327862E+004	-2.0156880E-003	2.6005464E+000
1.594261975309701E+004	-1.9881253E-003	2.6007946E+000
1.595761975291540E+004	-1.9970371E-003	2.6007946E+000
1.597261975273379E+004	-2.0039757E-003	2.6006229E+000
1.598761975255219E+004	-1.9939817E-003	2.6005845E+000
1.600261975237058E+004	-1.9846878E-003	2.6008136E+000
1.601761975218897E+004	-1.9675009E-003	2.6006610E+000
1.603261975200736E+004	-1.9864703E-003	2.6005654E+000
1.604761975182575E+004	-1.9879343E-003	2.6007183E+000
1.606261975164415E+004	-1.9850063E-003	2.6006610E+000
1.607761975146254E+004	-1.9805501E-003	2.6007564E+000
1.609261975128093E+004	-1.9947456E-003	2.6007755E+000
1.610761975109932E+004	-1.9785769E-003	2.6006420E+000
1.612261975091771E+004	-1.9767946E-003	2.6007946E+000
1.613761975073611E+004	-1.9867886E-003	2.6006801E+000
1.615261975055450E+004	-1.9762218E-003	2.6005654E+000
1.616761975037289E+004	-1.9704928E-003	2.6007373E+000
1.618261975019128E+004	-1.9706837E-003	2.6006038E+000
1.619761975000968E+004	-1.9720204E-003	2.6007946E+000
1.621261974982807E+004	-1.9878708E-003	2.6006992E+000
1.622761974964646E+004	-1.9501864E-003	2.6006229E+000
1.624261974946485E+004	-1.9864703E-003	2.6005464E+000
1.625761974928324E+004	-1.9841150E-003	2.6005845E+000
1.627261974910164E+004	-1.9573160E-003	2.6007183E+000
1.628761974892003E+004	-1.9535604E-003	2.6005845E+000
