time/s	I/mA	Ewe/V
0.000000000000000E+000	-2.9874563E-003	3.3300724E+000
7.063999821548350E-001	-3.0050252E-003	3.2981830E+000
1.283799967568484E+000	-3.0046434E-003	3.2858305E+000
1.971399950198247E+000	-3.0038792E-003	3.2724283E+000
2.800199929260998E+000	-3.0041977E-003	3.2598085E+000
3.534599910708494E+000	-3.0052799E-003	3.2508929E+000
5.122199870602344E+000	-3.0052799E-003	3.2369368E+000
5.700399855995784E+000	-3.0050252E-003	3.2284029E+000
5.927399850261281E+000	-3.0048981E-003	3.2263601E+000
6.242999842288555E+000	-3.0045160E-003	3.2242599E+000
7.110799820366083E+000	-3.0048981E-003	3.2196207E+000
7.577199808583828E+000	-3.0043253E-003	3.2149432E+000
8.273999790981179E+000	-3.0045160E-003	3.2142367E+000
9.231199766800273E+000	-3.0047705E-003	3.2067528E+000
9.886199750253581E+000	-3.0042615E-003	3.2056074E+000
1.085419972579984E+001	-3.0044522E-003	3.1992879E+000
1.117399971772102E+001	-3.0052161E-003	3.1974361E+000
1.146139971046068E+001	-3.0044522E-003	3.1969969E+000
1.180999970165431E+001	-3.0043253E-003	3.1948206E+000
1.218759969211533E+001	-3.0047072E-003	3.1926060E+000
1.261259968137892E+001	-3.0048981E-003	3.1934459E+000
1.308499966944510E+001	-3.0052161E-003	3.1893985E+000
1.364519965529325E+001	-3.0046434E-003	3.1895320E+000
1.416639964212663E+001	-3.0052799E-003	3.1873176E+000
1.467259962933895E+001	-3.0048343E-003	3.1831174E+000
1.520879961579340E+001	-3.0047705E-003	3.1834610E+000
1.588039959882735E+001	-3.0043887E-003	3.1831746E+000
1.667679957870860E+001	-3.0052161E-003	3.1783445E+000
1.703459956966981E+001	-3.0047705E-003	3.1775043E+000
1.733619956205075E+001	-3.0051528E-003	3.1772752E+000
1.779659955042007E+001	-3.0045160E-003	3.1749461E+000
1.816379954114382E+001	-3.0048981E-003	3.1764925E+000
1.861839952965965E+001	-3.0051528E-003	3.1759961E+000
1.982159949926427E+001	-3.0048981E-003	3.1729605E+000
2.076239947549766E+001	-3.0051528E-003	3.1702304E+000
2.169259945199883E+001	-3.0050252E-003	3.1727123E+000
2.228719943697797E+001	-3.0036885E-003	3.1687796E+000
2.265999942756025E+001	-3.0042615E-003	3.1691041E+000
2.307699941702595E+001	-3.0047072E-003	3.1665075E+000
2.352239940577419E+001	-3.0054708E-003	3.1644838E+000
2.374539940014074E+001	-3.0054073E-003	3.1664884E+000
2.409619939127879E+001	-3.0045160E-003	3.1642737E+000
2.439839938364457E+001	-3.0048981E-003	3.1641021E+000
2.465759937709663E+001	-3.0048343E-003	3.1631665E+000
2.486799937178148E+001	-3.0047705E-003	3.1636057E+000
2.517499936402601E+001	-3.0048981E-003	3.1613338E+000
2.541799935788731E+001	-3.0043887E-003	3.1605701E+000
2.571659935034404E+001	-3.0042615E-003	3.1586227E+000
2.603899934219953E+001	-3.0044522E-003	3.1606274E+000
2.629399933575769E+001	-3.0044522E-003	3.1603410E+000
2.651159933026065E+001	-3.0045160E-003	3.1595583E+000
2.686619932130270E+001	-3.0054073E-003	3.1594818E+000
2.721919931238517E+001	-3.0041342E-003	3.1606846E+000
2.811139928984630E+001	-3.0050252E-003	3.1584508E+000
2.891639926951029E+001	-3.0045798E-003	3.1560836E+000
2.970959924947238E+001	-3.0047072E-003	3.1565800E+000
3.047599923011148E+001	-3.0052161E-003	3.1548426E+000
3.108119921482285E+001	-3.0050252E-003	3.1522269E+000
3.152019920373277E+001	-3.0051528E-003	3.1538308E+000
3.190859919392096E+001	-3.0044522E-003	3.1557589E+000
3.250239917892031E+001	-3.0044522E-003	3.1563127E+000
3.281079917112947E+001	-3.0047072E-003	3.1545372E+000
3.326879915955942E+001	-3.0051528E-003	3.1517496E+000
3.382699914545810E+001	-3.0049616E-003	3.1527233E+000
3.419239913622732E+001	-3.0053435E-003	3.1498978E+000
3.459099912615784E+001	-3.0047705E-003	3.1497641E+000
3.497879911636119E+001	-3.0057253E-003	3.1541934E+000
3.548059910368465E+001	-3.0049616E-003	3.1544607E+000
3.600819909035636E+001	-3.0048981E-003	3.1570573E+000
3.624799908429850E+001	-3.0047705E-003	3.1588328E+000
3.664079907437554E+001	-3.0061074E-003	3.1581645E+000
3.716379906116345E+001	-3.0054708E-003	3.1553390E+000
3.744039905417594E+001	-3.0046434E-003	3.1545563E+000
3.786619904341933E+001	-3.0042615E-003	3.1544034E+000
3.813439903664403E+001	-3.0048343E-003	3.1518071E+000
3.838799903023755E+001	-3.0045798E-003	3.1519787E+000
3.861939902439190E+001	-3.0045160E-003	3.1523988E+000
3.887279901799047E+001	-3.0045798E-003	3.1544225E+000
3.913819901128591E+001	-3.0050252E-003	3.1503179E+000
3.937819900522300E+001	-3.0048343E-003	3.1531243E+000
3.974319899600232E+001	-3.0046434E-003	3.1573055E+000
4.001279898919165E+001	-3.0054073E-003	3.1536016E+000
4.027839898248203E+001	-3.0045160E-003	3.1529334E+000
4.043159897861187E+001	-3.0048343E-003	3.1435213E+000
4.069079897206393E+001	-3.0050252E-003	3.1436548E+000
4.091919896629406E+001	-3.0050890E-003	3.1421657E+000
4.117959895971580E+001	-3.0045798E-003	3.1463850E+000
4.168739894688770E+001	-3.0055346E-003	3.1460795E+000
4.270279892123654E+001	-3.0048981E-003	3.1430631E+000
4.325159890737268E+001	-3.0048981E-003	3.1417074E+000
4.370159889600473E+001	-3.0044522E-003	3.1416121E+000
4.401999888796126E+001	-3.0049616E-003	3.1387100E+000
4.429319888105965E+001	-3.0052161E-003	3.1404092E+000
4.469279887096491E+001	-3.0050252E-003	3.1381183E+000
4.506759886149666E+001	-3.0045160E-003	3.1420131E+000
4.531119885534281E+001	-3.0045798E-003	3.1393592E+000
4.552439884995692E+001	-3.0048981E-003	3.1435404E+000
4.582599884233787E+001	-3.0041342E-003	3.1390729E+000
4.616379883380432E+001	-3.0057253E-003	3.1427002E+000
4.656779882359842E+001	-3.0049616E-003	3.1397603E+000
4.685979881622188E+001	-3.0043253E-003	3.1397409E+000
4.737679880316136E+001	-3.0050252E-003	3.1348536E+000
4.768019879549684E+001	-3.0059165E-003	3.1353309E+000
4.803499878653383E+001	-3.0050890E-003	3.1353691E+000
4.824059878133994E+001	-3.0055346E-003	3.1350064E+000
4.846179877575196E+001	-3.0051528E-003	3.1340518E+000
4.878299876763776E+001	-3.0047072E-003	3.1341090E+000
4.906779876044311E+001	-3.0054073E-003	3.1334789E+000
4.925579875569383E+001	-3.0048981E-003	3.1335936E+000
4.945359875069698E+001	-3.0052799E-003	3.1353118E+000
4.971499874409346E+001	-3.0048981E-003	3.1334217E+000
5.001679873646935E+001	-3.0050890E-003	3.1334980E+000
5.018159873230616E+001	-3.0041977E-003	3.1315126E+000
5.040379872669291E+001	-3.0047072E-003	3.1294124E+000
5.069939871922543E+001	-3.0045798E-003	3.1299660E+000
5.089819871420332E+001	-3.0048343E-003	3.1320662E+000
5.113979870809999E+001	-3.0052161E-003	3.1269305E+000
5.134819870283536E+001	-3.0043887E-003	3.1263769E+000
5.158519869684824E+001	-3.0050890E-003	3.1289160E+000
5.185899868993147E+001	-3.0042615E-003	3.1288779E+000
5.207119868457085E+001	-3.0051528E-003	3.1285725E+000
5.227579867940221E+001	-3.0048981E-003	3.1291833E+000
5.258959867147496E+001	-3.0050890E-003	3.1282670E+000
5.305279865977354E+001	-3.0050890E-003	3.1317990E+000
5.332019865301845E+001	-3.0046434E-003	3.1300807E+000
5.358459864633915E+001	-3.0047072E-003	3.1281905E+000
5.381259864057938E+001	-3.0051528E-003	3.1298325E+000
5.403519863495603E+001	-3.0045798E-003	3.1289160E+000
5.420939863055537E+001	-3.0051528E-003	3.1288970E+000
5.439919862576062E+001	-3.0044522E-003	3.1323907E+000
5.467179861887416E+001	-3.0049616E-003	3.1303861E+000
5.495799861164414E+001	-3.0043887E-003	3.1289542E+000
5.519859860556608E+001	-3.0054073E-003	3.1292980E+000
5.540699860030145E+001	-3.0049616E-003	3.1273124E+000
5.560759859523387E+001	-3.0052161E-003	3.1271405E+000
5.590559858770575E+001	-3.0049616E-003	3.1250215E+000
5.618079858075362E+001	-3.0041342E-003	3.1239903E+000
5.634359857664094E+001	-3.0048343E-003	3.1261668E+000
5.651439857232617E+001	-3.0043253E-003	3.1262431E+000
5.681179856481322E+001	-3.0043887E-003	3.1278279E+000
5.702819855934649E+001	-3.0053435E-003	3.1268542E+000
5.724059855398082E+001	-3.0047072E-003	3.1246204E+000
5.755079854614451E+001	-3.0048981E-003	3.1266823E+000
5.790939853708551E+001	-3.0045798E-003	3.1287825E+000
5.828699852754653E+001	-3.0043887E-003	3.1286106E+000
5.851539852177666E+001	-3.0051528E-003	3.1277132E+000
5.870739851692633E+001	-3.0046434E-003	3.1231313E+000
5.898859850982262E+001	-3.0052799E-003	3.1252697E+000
5.921519850409823E+001	-3.0045160E-003	3.1231313E+000
5.948519849727745E+001	-3.0050252E-003	3.1252506E+000
5.965319849303341E+001	-3.0048343E-003	3.1242959E+000
5.987059848754143E+001	-3.0051528E-003	3.1261668E+000
6.015979848023562E+001	-3.0047705E-003	3.1253459E+000
6.038679847450112E+001	-3.0041977E-003	3.1257467E+000
